label,occurrences,source_file,line,chapter
fig:chapter3-concept-map,2,chapters/ch03-limits-continuity.tex,5070,
fig:chapter3-concept-map,2,chapters/ch03-limits-continuity.tex,5906,
fig:chapter3-graph-reading-review,2,chapters/ch03-limits-continuity.tex,5350,
fig:chapter3-graph-reading-review,2,chapters/ch03-limits-continuity.tex,6186,
fig:logistic-phase-line,2,chapters/ch07-optimization.tex,3980,
fig:logistic-phase-line,2,chapters/ch13-differential-equations.tex,919,
fig:multiply-by-i-rotation,2,chapters/ch14-parametric-polar.tex,6620,
fig:multiply-by-i-rotation,2,chapters/ch17-complex-fourier.tex,575,
fig:sin-h-over-h-geometry,2,chapters/ch05-differentiation-rules.tex,3139,
fig:sin-h-over-h-geometry,2,chapters/ch05-differentiation-rules.tex,4842,
fig:sine-derivative-cosine,2,chapters/ch05-differentiation-rules.tex,3368,
fig:sine-derivative-cosine,2,chapters/ch05-differentiation-rules.tex,5128,
sec:chapter3-review-discovery,2,chapters/ch03-limits-continuity.tex,5016,
sec:chapter3-review-discovery,2,chapters/ch03-limits-continuity.tex,5852,
subsec:bisection-project,2,chapters/ch03-limits-continuity.tex,5574,
subsec:bisection-project,2,chapters/ch03-limits-continuity.tex,6410,
subsec:chapter3-decision-guide,2,chapters/ch03-limits-continuity.tex,5080,
subsec:chapter3-decision-guide,2,chapters/ch03-limits-continuity.tex,5916,
subsec:chapter3-hook-to-derivative,2,chapters/ch03-limits-continuity.tex,5838,
subsec:chapter3-hook-to-derivative,2,chapters/ch03-limits-continuity.tex,6674,
subsec:chapter3-one-picture,2,chapters/ch03-limits-continuity.tex,5030,
subsec:chapter3-one-picture,2,chapters/ch03-limits-continuity.tex,5866,
subsec:chapter3-review-problems,2,chapters/ch03-limits-continuity.tex,5109,
subsec:chapter3-review-problems,2,chapters/ch03-limits-continuity.tex,5945,
subsec:monotone-bounded-sequences,2,chapters/ch03-limits-continuity.tex,4613,
subsec:monotone-bounded-sequences,2,chapters/ch15-sequences-series.tex,595,
subsec:secant-slope-discovery,2,chapters/ch03-limits-continuity.tex,5717,
subsec:secant-slope-discovery,2,chapters/ch03-limits-continuity.tex,6553,
subsec:sequence-convergence-divergence,2,chapters/ch03-limits-continuity.tex,4358,
subsec:sequence-convergence-divergence,2,chapters/ch15-sequences-series.tex,235,
